,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children_num,year_Customer,age_Customer,relationship,MntTotal,Puchases_total,Total_Accepted_Campaigns,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Cluster
0,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,2012,55,0,1617,22,0,False,False,True,False,False,1
1,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,2014,60,0,27,4,0,False,False,True,False,False,2
2,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,2013,48,1,776,20,0,False,False,True,False,False,1
3,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,1,2014,30,1,53,6,0,False,False,True,False,False,2
4,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,1,2014,33,1,422,14,0,False,False,False,False,True,3
5,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,1,2013,46,1,716,20,0,False,False,False,True,False,3
6,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,1,2012,41,0,590,17,0,False,False,True,False,False,1
7,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,1,2013,28,1,169,8,0,False,False,False,False,True,3
8,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,1,2013,39,1,46,5,0,False,False,False,False,True,3
9,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,2,2014,64,1,49,1,1,False,False,False,False,True,3
10,52247.25135379061,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,1,2013,30,1,19,3,0,False,False,True,False,False,2
11,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,2012,36,1,61,5,0,False,True,False,False,False,3
12,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,2013,54,0,1102,15,0,False,False,True,False,False,1
13,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,2,2013,61,0,310,12,0,False,False,False,True,False,3
14,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,2012,25,1,46,4,0,False,False,True,False,False,2
15,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,0,2012,66,0,1315,25,2,False,False,False,False,True,0
16,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,2,2012,32,1,96,6,0,False,False,True,False,False,2
17,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,2012,66,1,317,11,0,False,False,True,False,False,2
18,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1,2013,64,1,1782,24,1,False,False,False,True,False,0
19,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,2012,27,0,133,6,0,True,False,False,False,False,3
20,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,2012,30,1,316,11,0,False,False,True,False,False,2
21,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1,2013,34,1,1730,28,0,False,False,True,False,False,2
22,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,1,2012,63,1,972,14,1,False,False,False,False,True,0
23,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1,2014,60,1,544,17,0,False,False,False,False,True,3
24,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,2013,62,1,444,13,0,False,False,True,False,False,2
25,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,2013,44,0,75,6,0,False,False,True,False,False,2
26,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2,2013,37,1,257,10,0,False,False,True,False,False,2
27,52247.25135379061,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,1,2013,27,0,637,27,0,False,False,True,False,False,1
28,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,1,2013,24,1,131,7,0,False,False,True,False,False,2
29,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,2013,48,1,1672,25,1,False,False,False,False,True,0
30,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,2014,25,0,30,6,0,False,False,False,True,False,3
31,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,2013,50,1,318,10,0,False,False,False,True,False,3
32,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1,2012,42,1,120,7,1,False,False,True,False,False,2
33,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,2,2012,60,0,302,11,0,False,False,False,False,True,0
34,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,2013,67,1,1196,17,0,False,False,False,True,False,0
35,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,2,2013,62,0,65,5,0,False,False,False,True,False,3
36,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,1,2013,43,1,913,23,0,False,False,False,False,True,0
37,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,2013,37,1,81,6,0,True,False,False,False,False,3
38,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,2014,41,0,67,5,0,False,False,True,False,False,2
39,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0,2013,70,0,902,22,1,False,False,False,False,True,0
40,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1,2013,33,1,1395,19,0,False,False,True,False,False,1
41,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,2013,28,1,53,5,0,False,False,False,True,False,3
42,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,1,2012,55,1,22,3,0,False,False,True,False,False,2
43,52247.25135379061,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,0,2013,54,0,186,8,0,False,False,False,False,True,3
44,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,1,2013,38,1,31,5,0,False,False,False,True,False,3
45,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,2014,38,0,984,15,0,False,False,True,False,False,1
46,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,2012,16,1,122,7,0,True,False,False,False,False,3
47,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,1,2013,45,1,55,4,0,False,False,True,False,False,2
48,52247.25135379061,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,3,2014,63,0,124,7,0,False,False,True,False,False,2
49,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,2,2012,58,1,1319,19,0,False,False,False,False,True,0
50,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,2014,57,0,507,16,0,False,False,True,False,False,2
51,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,2012,48,1,1693,28,0,False,False,False,True,False,0
52,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,2013,36,0,72,5,0,False,False,True,False,False,2
53,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,2014,37,0,1617,20,2,False,False,True,False,False,1
54,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,2013,35,1,606,16,0,False,False,True,False,False,2
55,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0,2012,57,1,1957,26,1,False,False,False,True,False,0
56,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,2013,47,0,1093,20,0,False,False,True,False,False,1
57,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,1,2014,26,0,29,5,0,False,False,True,False,False,2
58,52247.25135379061,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,1,2013,31,0,46,5,0,False,False,True,False,False,2
59,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,1,2014,46,1,518,16,0,False,False,False,False,True,3
60,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0,2013,31,0,1438,20,2,False,False,False,True,False,0
61,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,2,2012,37,1,612,18,0,False,False,True,False,False,2
62,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,1,2013,61,0,884,20,0,False,False,True,False,False,1
63,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,1,2013,62,0,606,18,0,False,False,False,False,True,0
64,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,2013,65,1,1076,15,0,False,False,True,False,False,1
65,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,1,2013,42,1,34,4,0,False,False,True,False,False,2
66,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2,2014,47,1,11,3,0,False,False,True,False,False,2
67,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1,2014,35,0,1274,31,2,True,False,False,False,False,0
68,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,1,2013,55,1,653,17,0,False,False,True,False,False,2
69,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,3,2013,43,1,1562,12,0,False,False,True,False,False,2
70,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,2012,58,1,1253,18,0,False,False,False,True,False,0
71,52247.25135379061,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,1,2012,39,1,109,6,0,True,False,False,False,False,3
72,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,1,2013,54,1,863,26,0,False,False,True,False,False,1
73,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,2,2013,38,1,661,19,1,False,False,False,False,True,0
74,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,2014,62,1,65,7,0,False,False,True,False,False,2
75,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,1,2012,35,0,13,3,0,False,False,True,False,False,2
76,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0,2012,40,1,1890,18,0,False,False,False,True,False,0
77,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0,2012,36,0,2209,22,1,False,False,True,False,False,1
78,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0,2013,37,1,18,3,0,True,False,False,False,False,3
79,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0,2013,48,1,692,19,1,False,False,True,False,False,1
80,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,1,2012,27,0,165,8,0,False,False,True,False,False,2
81,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,1,2013,44,1,16,3,0,False,False,True,False,False,2
82,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,1,2013,40,1,79,6,0,True,False,False,False,False,3
83,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0,2014,27,0,778,26,0,False,False,True,False,False,1
84,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,2,2013,53,1,56,5,0,False,False,True,False,False,2
85,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,2,2013,43,1,151,8,1,False,False,False,True,False,3
86,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,1,2014,57,0,372,13,2,False,False,True,False,False,1
87,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,0,2014,41,1,1366,18,1,False,False,True,False,False,1
88,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,1,2014,47,1,194,9,0,False,False,True,False,False,2
89,52247.25135379061,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,3,2012,55,1,603,17,0,False,False,False,False,True,3
90,52247.25135379061,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,2,2014,57,0,18,3,0,False,False,True,False,False,2
91,52247.25135379061,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,0,2013,40,1,985,14,0,False,False,False,True,False,0
92,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,1,2014,42,0,32,4,0,False,False,False,True,False,3
93,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,1,2014,44,1,43,7,0,False,False,False,False,True,3
94,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,1,2014,31,1,45,5,0,False,False,True,False,False,2
95,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,1,2012,52,0,606,17,1,False,False,True,False,False,1
96,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,2,2013,41,0,63,5,0,False,False,True,False,False,2
97,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,0,2013,62,1,978,24,1,True,False,False,False,False,0
98,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0,2013,30,1,410,14,0,False,False,False,False,True,3
99,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,2013,53,0,72,5,0,True,False,False,False,False,3
100,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,1,2014,55,0,55,5,0,False,False,False,False,True,3
101,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1,2013,34,1,1169,25,0,False,False,True,False,False,1
102,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0,2013,68,1,1120,15,0,False,False,False,False,True,0
103,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,0,2014,55,1,1097,19,0,False,False,True,False,False,1
104,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,1,2013,34,1,29,4,0,False,True,False,False,False,3
105,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,2,2013,49,1,187,9,0,False,False,True,False,False,2
106,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,2,2013,44,1,910,22,0,False,False,True,False,False,1
107,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,1,2012,34,0,145,7,0,False,False,True,False,False,2
108,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0,2012,52,1,850,13,0,False,False,False,True,False,0
109,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,1,2013,34,1,969,23,0,False,False,True,False,False,1
110,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,0,2012,21,0,1820,16,1,False,False,False,False,True,0
111,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,1,2014,51,1,608,17,1,False,False,False,True,False,3
